t[d],Residual[m/s],E_residuals[m/s]
17.098379988523927,2.247434156746028,1.0062672760178628
36.68065235707563,-0.23488717471989573,0.9997233158464156
36.81920421526475,-2.288506468770283,0.978588047777625
42.57888042157831,-1.0481835007572204,1.0195464685753892
44.0101338894644,-0.22031927806371182,0.9891613889745752
47.078845683181555,0.8409137939084979,1.002705813911802
68.97238118727545,1.5571776676535918,0.9941784009377908
83.52471767736591,-1.569748726370606,0.9997364942137524
84.8775915496368,2.4660697884813034,1.0067390784779136
100.27398476839066,-0.3237397168183499,0.996522479053996
102.75279100773903,0.6136557098874991,0.9995215827067502
115.39966152638236,0.5525130734104153,0.9805798272145836
120.4155638412918,0.17321889715867142,0.9881148080718608
120.49020217812368,0.9127579955769667,0.983810300129236
121.1452684680886,0.5894470957469528,0.9987382361458532
123.27588001032296,-2.9403590906524713,1.000379193091996
124.99982859827652,-1.0442789059127482,1.0001837830498232
130.7550504663091,-3.3491362494739603,0.9970888778430436
135.61139513644983,1.5658417893152299,1.0065202783206313
136.14937740770495,-2.2854134409057023,1.0008282391837326
141.00961747748983,0.3551280948582077,1.0005977554775212
149.94413880468716,1.6699245968473082,0.9869980823776312
157.1684440504818,0.7471586624905062,1.0002406280080245
174.71938965139756,0.7268787979913115,0.9990046838089008
190.32184213439407,-1.5624615598160845,0.9883045504873624
221.5378067097894,0.34827663905647066,0.9873545280091576
244.45139117703627,-1.495269875037883,1.00761862710462
252.12486026990376,1.2633266255095001,1.0096086682068597
252.923815825849,0.4817332037404657,0.9958635456444316
261.75849257834216,1.311215859496373,1.0084189910877928
271.6719663625599,-1.4017634186642594,1.0079028710663702
274.88307601190365,-1.6000040590470916,0.9981390783010684
280.24831232665,1.0907343840172403,0.998129637805113
285.45856243763126,-1.6370181372443167,0.9914356763998512
295.4716689461566,-0.7939931724770888,0.9944422755074984
308.09417425301024,0.014621531709372304,0.9925006480393652
327.78279966046597,2.264139823560596,1.0143393419219662
339.7144795063889,1.6579103252305272,1.0236890285863545
362.98022701125853,-1.5730237235352704,1.003575334658995
396.15054106529755,0.9597569681716683,0.9859125466592308
401.4126592324012,0.3478928072049174,0.9941193172640096
414.5996440903568,-1.0993369242634183,0.9961859202587314
425.7014290339411,0.10491041817771807,0.9967617301288616
433.1435724058896,0.16460974166817688,1.0104279114981678
438.87528427693354,1.5541252643430203,0.9859123075756344
450.3377896530374,1.363879594588706,1.0043138729258838
470.86609973805616,-0.29004849986176995,1.005951742018507
472.5433876961703,1.3369627513687918,1.0248328182006856
473.7070089867679,0.20271851967116739,0.982987028236979
475.261592054423,1.742624741257969,1.002441807067276
480.89741840321426,-1.0065458070378979,0.9998966251542512
486.7391743655727,2.1096843517314494,1.02948251795368
487.37515191779494,-0.2887157226378141,0.9943073672245024
501.978804870108,1.4301554902603197,1.020360210464549
502.00595060101904,1.4696046974201589,1.0079777824381522
506.3335363799201,-1.4760012289459914,0.99827986939305
510.29828310444015,-0.8503608517956516,0.9872632628420782
540.7866661888504,-0.04127182172250626,1.010099049284888
542.3463605010945,0.7925666363243682,0.985584598721292
555.9148575294894,0.5325048698603648,0.9974138545153842
563.2769032778571,0.5755992119707649,0.988151079068372
572.7247562772694,0.14482171251828785,1.0032895714841463
582.9339417462651,0.3321072128916631,1.0081365741938193
618.4984007033248,-2.466529861108822,1.0194139037648753
618.639358339878,-1.1085225362145184,0.9955200476972776
628.8041891494687,-1.1273265674860982,1.0051928754311834
630.0534495166557,3.5394523221869902,0.9971257251148364
641.8639891127107,-0.3346415118329395,0.9854705671142368
662.6991301374442,1.6771009740897085,0.9932187908032049
697.3581533416884,1.6540939155848327,0.9827843481036092
704.3352443109419,0.17898018526325443,1.0081110582129114
705.3416005180662,-1.6498568012535675,0.983891104046385
712.2214114102891,-0.12184636291410134,0.9842635588463904
712.7618278530235,0.7082730830877304,0.9946206704122724
718.2990187847267,0.7693655085091935,0.9952023651580132
737.9226600832051,-0.9707168669299073,1.0002098284455458
742.7497815991973,-1.7214363060332727,0.9853789713461312
753.6734838028023,-0.3824800206182062,0.9853779966716903
764.5293291245401,1.7428585675766293,0.9832690798094504
785.9462961193628,-0.27982346006920933,0.9898358429424716
797.2393504750357,-1.0568360490322712,0.9967495270511164
804.2690975007101,0.9570367266581887,0.9977618541138056
804.3280654969014,-0.05904538478655552,0.9925161783266389
814.6898784173834,-0.28958210699991316,0.9974714592572594
825.8189179447244,0.14130098747767406,1.0075415654361446
829.442676837529,-1.918104639664864,1.0034244274869597
836.0689499655907,0.6303428317938773,0.992751358145448
837.0601242622438,1.2808664494845483,0.9959891790546136
872.7614015209863,-0.9563543155666216,1.0021880610263227
880.2564775610657,-0.4685208051261778,0.9876341997269186
899.0354651811433,-1.7922531257366594,1.0007546777840466
907.4819125077108,0.7318626908186339,0.985831177928764
921.5905027748652,-2.69245267208729,1.0011468711349707
942.7657602801256,2.1261374465141545,0.9810769386838248
951.671781719606,-0.8447255379377585,1.011425613373306
953.6830254175834,-2.116357212271106,1.000290693367662
957.4646760721472,-0.7108881012433561,0.988728490902966
962.8024701852472,0.8057573483335656,1.0043746421880697
971.863390381654,1.7198398583114693,1.0050903152494428
990.4681705551856,0.2089456443529395,0.99724156391714
